"EEVH9NY4","journalArticle","2019","Chen, Otto; Han, Dawei","Rediscovering the Idea of Cultural Heritage and the Relationship with Nature: Four Schools of Essential Thought of the Ancient Han Chinese","Heritage","","2571-9408","10.3390/heritage2030111","https://www.mdpi.com/2571-9408/2/3/111","","2019","2019-07-21 13:35:25","2019-07-21 13:35:25","","1812–1834","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZFNESXP6","journalArticle","2019","Rahaman, Hafizur; Champion, Erik","To 3D or Not 3D: Choosing a Photogrammetry Workflow for Cultural Heritage Groups","Heritage","","2571-9408","10.3390/heritage2030112","https://www.mdpi.com/2571-9408/2/3/112","","2019","2019-07-21 13:35:25","2019-07-21 13:35:25","","1835–1851","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SKFNBAD9","journalArticle","2019","Torrisi, Lorenzo; Venuti, Valentina; Crupi, Vincenza; Silipigni, Letteria; Cutroneo, Mariapompea; Paladini, Giuseppe; Torrisi, Alfio; Havránek, Vladimír; Macková, Anna; La Russa, Mauro Francesco; Birarda, Giovanni; Vaccari, Lisa; Macchia, Andrea; Khalilli, Fariz; Ricca, Michela; Majolino, Domenico","RBS, PIXE, Ion-Microbeam and SR-FTIR Analyses of Pottery Fragments from Azerbaijan","Heritage","","2571-9408","10.3390/heritage2030113","https://www.mdpi.com/2571-9408/2/3/113","","2019","2019-07-21 13:35:25","2019-07-21 13:35:25","","1852–1873","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KUUCJM72","journalArticle","2019","Tawab, Ayman Abdel","The Assessment of Historic Towns’ Outstanding Universal Value Based on the Interchange of Human Values They Exhibit","Heritage","","2571-9408","10.3390/heritage2030114","https://www.mdpi.com/2571-9408/2/3/114","","2019","2019-07-21 13:35:25","2019-07-21 13:35:25","","1874–1891","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5Q3QWURP","journalArticle","2019","Gaitán, Mar; Alba, Ester; León, Arabella; Pérez, Manolo; Sevilla, Javier; Portalés, Cristina","Towards the Preservation and Dissemination of Historical Silk Weaving Techniques in the Digital Era","Heritage","","2571-9408","10.3390/heritage2030115","https://www.mdpi.com/2571-9408/2/3/115","","2019","2019-07-21 13:35:25","2019-07-21 13:35:25","","1892–1911","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6IDJREGV","journalArticle","2019","Nikolopoulou, Konstantina","Grass-Roots Initiatives and Bottom-Up Musealisation Mechanisms in Urban Space: The Case of Heraklion Crete","Heritage","","2571-9408","10.3390/heritage2030116","https://www.mdpi.com/2571-9408/2/3/116","","2019","2019-07-21 13:35:25","2019-07-21 13:35:25","","1912–1926","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GH9DEKT7","journalArticle","2019","Cuperschmid, Ana Regina Mizrahy; Fabricio, Márcio Minto; Franco, Júlio César","HBIM Development of A Brazilian Modern Architecture Icon: Glass House by Lina Bo Bardi","Heritage","","2571-9408","10.3390/heritage2030117","https://www.mdpi.com/2571-9408/2/3/117","","2019","2019-07-21 13:35:26","2019-07-21 13:35:26","","1927–1940","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FT8ZUFKZ","journalArticle","2019","Shimoda, Ichita; Uchida, Etsuo; Tsuda, Kojiro","Estimated Construction Order of the Major Shrines of Sambor Prei Kuk Based on an Analysis of Bricks","Heritage","","2571-9408","10.3390/heritage2030118","https://www.mdpi.com/2571-9408/2/3/118","","2019","2019-07-21 13:35:26","2019-07-21 13:35:26","","1941–1959","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XYRHWTER","journalArticle","2019","Mazurek, Joy; Svoboda, Marie; Schilling, Michael","GC/MS Characterization of Beeswax, Protein, Gum, Resin, and Oil in Romano-Egyptian Paintings","Heritage","","2571-9408","10.3390/heritage2030119","https://www.mdpi.com/2571-9408/2/3/119","","2019","2019-07-21 13:35:26","2019-07-21 13:35:26","","1960–1985","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3CZYNT9C","journalArticle","2019","Gizzi, Fabrizio Terenzio; Biscione, Marilisa; Danese, Maria; Maggio, Agata; Pecci, Antonio; Sileo, Maria; Potenza, Maria Rosaria; Masini, Nicola; Ruggeri, Antonella; Sileo, Annamaria; Mercurio, Franca; (WG), School-Work Alternation (SWA) Working Group","Students Meet Cultural Heritage: An Experience within the Framework of the Italian School-Work Alternation (SWA)—from Outcomes to Outlooks","Heritage","","2571-9408","10.3390/heritage2030120","https://www.mdpi.com/2571-9408/2/3/120","","2019","2019-07-21 13:35:26","2019-07-21 13:35:26","","1986–2016","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
